Date,Channel,Chain,Depot,SubCat,SKU,UnitsSold,key
01/05/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0016,2064.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0016
01/05/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0015,2280.0,Retail_FoodBazaar_Downtown Depot_Bakery_PRD0015
01/05/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0026,2430.0,Retail_FoodBazaar_Harbor Depot_Frozen Foods_PRD0026
01/05/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0015,2640.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0015
01/05/22,Online,DailyNeeds,East Depot,Snacks,PRD0005,26640.0,Online_DailyNeeds_East Depot_Snacks_PRD0005
01/05/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0020,270.0,Retail_SuperShop_South Depot_Frozen Foods_PRD0020
01/05/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0015,3048.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0015
01/05/22,Retail,ValueStore,South Depot,Personal Care,PRD0024,3216.0,Retail_ValueStore_South Depot_Personal Care_PRD0024
01/05/22,Online,DailyNeeds,East Depot,Bakery,PRD0016,33864.0,Online_DailyNeeds_East Depot_Bakery_PRD0016
01/05/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0026,3645.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0026
01/05/22,Online,FreshMart,North Depot,Snacks,PRD0007,3735.0,Online_FreshMart_North Depot_Snacks_PRD0007
01/05/22,Online,FreshMart,North Depot,Dairy,PRD0012,427815.0,Online_FreshMart_North Depot_Dairy_PRD0012
01/05/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0017,432.0,Retail_ValueStore_Downtown Depot_Bakery_PRD0017
01/05/22,Retail,SuperShop,Harbor Depot,Bakery,PRD0018,4464.0,Retail_SuperShop_Harbor Depot_Bakery_PRD0018
01/05/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0026,4635.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0026
01/05/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0017,4752.0,Retail_FoodBazaar_Harbor Depot_Bakery_PRD0017
01/05/22,Retail,SuperShop,Harbor Depot,Frozen Foods,PRD0021,5265.0,Retail_SuperShop_Harbor Depot_Frozen Foods_PRD0021
01/05/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0026,630.0,Retail_FoodBazaar_Downtown Depot_Frozen Foods_PRD0026
01/05/22,Online,DailyNeeds,East Depot,Bakery,PRD0017,64224.0,Online_DailyNeeds_East Depot_Bakery_PRD0017
01/05/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0022,6750.0,Retail_ValueStore_Harbor Depot_Frozen Foods_PRD0022
01/05/22,Retail,ValueStore,Central Depot,Personal Care,PRD0024,7056.0,Retail_ValueStore_Central Depot_Personal Care_PRD0024
01/05/22,Online,DailyNeeds,East Depot,Dairy,PRD0008,828720.0,Online_DailyNeeds_East Depot_Dairy_PRD0008
01/05/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0023,90.0,Retail_QuickPick_Downtown Depot_Frozen Foods_PRD0023
01/06/22,Retail,QuickPick,South Depot,Bakery,PRD0016,0.0,Retail_QuickPick_South Depot_Bakery_PRD0016
01/06/22,Retail,FoodBazaar,South Depot,Household,PRD0030,1152.0,Retail_FoodBazaar_South Depot_Household_PRD0030
01/06/22,Retail,ValueStore,Harbor Depot,Personal Care,PRD0024,119232.0,Retail_ValueStore_Harbor Depot_Personal Care_PRD0024
01/06/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0022,1260.0,Retail_FoodBazaar_West Depot_Frozen Foods_PRD0022
01/06/22,Online,DailyNeeds,East Depot,Bakery,PRD0017,12648.0,Online_DailyNeeds_East Depot_Bakery_PRD0017
01/06/22,Online,DailyNeeds,East Depot,Snacks,PRD0004,13140.0,Online_DailyNeeds_East Depot_Snacks_PRD0004
01/06/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0015,1512.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0015
01/06/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0020,180.0,Retail_SuperShop_South Depot_Frozen Foods_PRD0020
01/06/22,Online,FreshMart,North Depot,Dairy,PRD0009,210825.0,Online_FreshMart_North Depot_Dairy_PRD0009
01/06/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0015,2208.0,Retail_FoodBazaar_Downtown Depot_Bakery_PRD0015
01/06/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0026,225.0,Retail_FoodBazaar_Downtown Depot_Frozen Foods_PRD0026
01/06/22,Online,DailyNeeds,East Depot,Dairy,PRD0008,273645.0,Online_DailyNeeds_East Depot_Dairy_PRD0008
01/06/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0026,2745.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0026
01/06/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0017,3432.0,Retail_FoodBazaar_Harbor Depot_Bakery_PRD0017
01/06/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0031,3455.04,Retail_FoodBazaar_Harbor Depot_Household_PRD0031
01/06/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0016,360.0,Retail_QuickPick_Uptown Depot_Bakery_PRD0016
01/06/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0022,3870.0,Retail_ValueStore_Harbor Depot_Frozen Foods_PRD0022
01/06/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0020,450.0,Retail_ValueStore_South Depot_Frozen Foods_PRD0020
01/06/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0014,4656.0,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0014
01/06/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0026,495.0,Retail_FoodBazaar_Harbor Depot_Frozen Foods_PRD0026
01/06/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0023,495.0,Retail_QuickPick_Downtown Depot_Frozen Foods_PRD0023
01/06/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0020,495.0,Retail_QuickPick_Harbor Depot_Frozen Foods_PRD0020
01/06/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0017,528.0,Retail_ValueStore_Downtown Depot_Bakery_PRD0017
01/06/22,Retail,QuickPick,South Depot,Bakery,PRD0017,528.0,Retail_QuickPick_South Depot_Bakery_PRD0017
01/06/22,Retail,ValueStore,South Depot,Personal Care,PRD0024,5280.0,Retail_ValueStore_South Depot_Personal Care_PRD0024
01/06/22,Retail,SuperShop,Harbor Depot,Frozen Foods,PRD0021,5850.0,Retail_SuperShop_Harbor Depot_Frozen Foods_PRD0021
01/06/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0023,5985.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0023
01/06/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0015,5999.04,Retail_FoodBazaar_Uptown Depot_Bakery_PRD0015
01/06/22,Online,FreshMart,North Depot,Dairy,PRD0012,666450.0,Online_FreshMart_North Depot_Dairy_PRD0012
01/06/22,Retail,ValueStore,Central Depot,Personal Care,PRD0024,7440.0,Retail_ValueStore_Central Depot_Personal Care_PRD0024
01/06/22,Online,DailyNeeds,East Depot,Snacks,PRD0005,8550.0,Online_DailyNeeds_East Depot_Snacks_PRD0005
01/06/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0026,8595.0,Retail_ValueStore_West Depot_Frozen Foods_PRD0026
