Date,Channel,Chain,Depot,SubCat,SKU,UnitsSold
01/01/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0016,3672
01/01/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0023,3825
01/01/22,Retail,FoodBazaar,Uptown Depot,Household,PRD0027,384
01/01/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0015,384
01/01/22,Retail,FoodBazaar,South Depot,Household,PRD0028,403.92
01/01/22,Retail,ValueStore,Uptown Depot,Bakery,PRD0016,4032
01/01/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0022,405
01/01/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0023,405
01/01/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0022,405
01/01/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0022,405
01/01/22,Retail,FoodBazaar,Downtown Depot,Bakery,PRD0018,408
01/01/22,Retail,QuickPick,Harbor Depot,Bakery,PRD0018,408
01/01/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0021,45
01/01/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0025,45
01/01/22,Retail,ValueStore,South Depot,Snacks,PRD0005,450
01/01/22,Retail,FoodBazaar,Uptown Depot,Frozen Foods,PRD0022,4545
01/01/22,Retail,FoodBazaar,South Depot,Bakery,PRD0014,456
01/01/22,Retail,FoodBazaar,Uptown Depot,Produce,PRD0019,45600
01/01/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0022,4590
01/01/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0014,48
01/01/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0016,48
01/01/22,Retail,ValueStore,Harbor Depot,Produce,PRD0019,480
01/01/22,Retail,FoodBazaar,South Depot,Bakery,PRD0015,480
01/01/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0027,480
01/01/22,Retail,SuperShop,West Depot,Frozen Foods,PRD0023,495
01/01/22,Retail,SuperShop,West Depot,Frozen Foods,PRD0021,495
01/01/22,Retail,ValueStore,Central Depot,Bakery,PRD0017,504
01/01/22,Online,DailyNeeds,East Depot,Dairy,PRD0008,510030
01/01/22,Retail,ValueStore,Harbor Depot,Snacks,PRD0003,5220
01/01/22,Retail,SuperShop,West Depot,Produce,PRD0019,5244
01/01/22,Retail,ValueStore,Central Depot,Produce,PRD0019,5280
01/01/22,Online,DailyNeeds,East Depot,Dairy,PRD0009,538560
01/01/22,Retail,FoodBazaar,South Depot,Frozen Foods,PRD0026,540
01/01/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0021,5490
01/01/22,Retail,FoodBazaar,South Depot,Bakery,PRD0016,552
01/01/22,Online,DailyNeeds,East Depot,Dairy,PRD0012,574650
01/01/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0025,585
01/01/22,Retail,FoodBazaar,South Depot,Frozen Foods,PRD0022,585
01/01/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0022,585
01/01/22,Retail,ValueStore,Harbor Depot,Snacks,PRD0007,6030
01/01/22,Online,FreshMart,North Depot,Dairy,PRD0009,61200
01/01/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0026,6165
01/01/22,Retail,ValueStore,Harbor Depot,Snacks,PRD0004,6300
01/01/22,Online,FreshMart,North Depot,Dairy,PRD0008,63900
01/01/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0023,6435
01/01/22,Retail,FoodBazaar,South Depot,Bakery,PRD0018,648
01/01/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0025,6525
01/01/22,Retail,FoodBazaar,Downtown Depot,Produce,PRD0019,6720
01/01/22,Online,FreshMart,North Depot,Snacks,PRD0004,675
01/01/22,Retail,ValueStore,South Depot,Snacks,PRD0003,675
01/01/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0025,675
01/01/22,Online,DailyNeeds,East Depot,Dairy,PRD0010,687330
01/01/22,Online,DailyNeeds,East Depot,Snacks,PRD0003,6885
01/01/22,Retail,FoodBazaar,South Depot,Bakery,PRD0017,696
01/01/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0028,696
01/01/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0018,72
01/01/22,Retail,ValueStore,South Depot,Snacks,PRD0004,720
01/01/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0021,720
01/01/22,Retail,ValueStore,Uptown Depot,Produce,PRD0019,7200
01/01/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0022,7560
01/01/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0025,765
01/01/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0026,765
01/01/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0016,768
01/01/22,Online,DailyNeeds,East Depot,Dairy,PRD0011,771255
01/01/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0026,795
01/01/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0017,816
01/01/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0022,8280
01/01/22,Retail,ValueStore,South Depot,Bakery,PRD0017,864
01/01/22,Retail,SuperShop,West Depot,Frozen Foods,PRD0020,90
01/01/22,Retail,ValueStore,Central Depot,Snacks,PRD0007,90
01/01/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0020,900
01/01/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0020,900
01/01/22,Retail,FoodBazaar,West Depot,Produce,PRD0019,9120
01/01/22,Online,FreshMart,North Depot,Beverages,PRD0001,93540
01/01/22,Retail,ValueStore,West Depot,Produce,PRD0019,960
01/01/22,Retail,QuickPick,South Depot,Produce,PRD0019,960
01/01/22,Online,FreshMart,North Depot,Snacks,PRD0005,990
01/01/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0025,990
01/01/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0026,990
01/02/22,Retail,ValueStore,Harbor Depot,Snacks,PRD0004,0
01/02/22,Retail,ValueStore,Uptown Depot,Bakery,PRD0016,0
01/02/22,Retail,QuickPick,Uptown Depot,Bakery,PRD0016,1032
01/02/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0022,1035
01/02/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0022,1035
01/02/22,Retail,FoodBazaar,Uptown Depot,Frozen Foods,PRD0023,1035
01/02/22,Retail,FoodBazaar,Uptown Depot,Frozen Foods,PRD0026,1035
01/02/22,Retail,ValueStore,South Depot,Bakery,PRD0014,1056
01/02/22,Retail,QuickPick,Harbor Depot,Bakery,PRD0016,1056
01/02/22,Online,FreshMart,North Depot,Beverages,PRD0001,107430
01/02/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0026,1080
01/02/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0026,1080
01/02/22,Retail,QuickPick,Harbor Depot,Bakery,PRD0017,1080
01/02/22,Retail,FoodBazaar,Uptown Depot,Household,PRD0028,1104
01/02/22,Retail,SuperShop,Harbor Depot,Frozen Foods,PRD0023,1125
01/02/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0023,1125
01/02/22,Retail,FoodBazaar,South Depot,Frozen Foods,PRD0023,1125
01/02/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0026,1125
01/02/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0021,1125
01/02/22,Retail,FoodBazaar,Harbor Depot,Bakery,PRD0018,1128
01/02/22,Online,FreshMart,North Depot,Dairy,PRD0009,113400
01/02/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0014,1152
01/02/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0020,1170
01/02/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0020,1170
01/02/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0026,1170
01/02/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0022,1170
01/02/22,Retail,FoodBazaar,Downtown Depot,Household,PRD0027,120
01/02/22,Retail,FoodBazaar,West Depot,Household,PRD0030,120
01/02/22,Retail,FoodBazaar,West Depot,Household,PRD0031,120
01/02/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0023,1215
01/02/22,Retail,QuickPick,Harbor Depot,Bakery,PRD0018,1224
01/02/22,Retail,FoodBazaar,South Depot,Bakery,PRD0015,1248
01/02/22,Retail,SuperShop,Uptown Depot,Frozen Foods,PRD0021,1260
01/02/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0021,1260
01/02/22,Retail,ValueStore,South Depot,Bakery,PRD0017,1272
01/02/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0017,1296
01/02/22,Retail,ValueStore,Harbor Depot,Snacks,PRD0003,135
01/02/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0021,135
01/02/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0023,135
01/02/22,Retail,QuickPick,West Depot,Frozen Foods,PRD0020,135
01/02/22,Retail,QuickPick,West Depot,Frozen Foods,PRD0023,135
01/02/22,Retail,ValueStore,Uptown Depot,Bakery,PRD0017,1368
01/02/22,Retail,FoodBazaar,Uptown Depot,Produce,PRD0019,13884
01/02/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0025,1395
01/02/22,Retail,FoodBazaar,Downtown Depot,Household,PRD0030,144
01/02/22,Retail,FoodBazaar,Downtown Depot,Household,PRD0028,144
01/02/22,Retail,ValueStore,Harbor Depot,Snacks,PRD0007,1485
01/02/22,Retail,FoodBazaar,Uptown Depot,Frozen Foods,PRD0022,1485
01/02/22,Retail,FoodBazaar,South Depot,Frozen Foods,PRD0026,1530
01/02/22,Online,FreshMart,North Depot,Dairy,PRD0008,153360
01/02/22,Retail,FoodBazaar,South Depot,Bakery,PRD0014,1536
01/02/22,Retail,ValueStore,Uptown Depot,Produce,PRD0019,15360
01/02/22,Retail,ValueStore,Harbor Depot,Personal Care,PRD0024,15504
01/02/22,Retail,ValueStore,Harbor Depot,Bakery,PRD0014,1560
01/02/22,Retail,ValueStore,Uptown Depot,Personal Care,PRD0024,1632
01/02/22,Retail,FoodBazaar,Uptown Depot,Bakery,PRD0018,1632
01/02/22,Retail,ValueStore,Harbor Depot,Bakery,PRD0017,1656
01/02/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0025,1665
01/02/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0025,1665
01/02/22,Retail,ValueStore,West Depot,Personal Care,PRD0024,1680
01/02/22,Online,DailyNeeds,East Depot,Snacks,PRD0007,17820
01/02/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0020,180
01/02/22,Retail,ValueStore,Central Depot,Snacks,PRD0004,180
01/02/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0023,180
01/02/22,Retail,FoodBazaar,South Depot,Bakery,PRD0018,1848
01/02/22,Online,FreshMart,North Depot,Dairy,PRD0010,185220
01/02/22,Online,FreshMart,North Depot,Snacks,PRD0003,1890
01/02/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0023,1890
01/02/22,Retail,ValueStore,West Depot,Bakery,PRD0014,192
01/02/22,Retail,FoodBazaar,Downtown Depot,Household,PRD0031,192
01/02/22,Retail,FoodBazaar,West Depot,Bakery,PRD0014,192
01/02/22,Retail,FoodBazaar,West Depot,Bakery,PRD0016,192
01/02/22,Retail,QuickPick,Uptown Depot,Produce,PRD0019,1920
01/02/22,Online,FreshMart,North Depot,Snacks,PRD0005,1935
01/02/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0020,1935
01/02/22,Retail,ValueStore,West Depot,Frozen Foods,PRD0022,1935
01/02/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0025,1935
01/02/22,Online,DailyNeeds,East Depot,Snacks,PRD0004,19575
01/02/22,Retail,QuickPick,Uptown Depot,Frozen Foods,PRD0020,1980
01/02/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0026,2070
01/02/22,Retail,ValueStore,Harbor Depot,Bakery,PRD0016,2088
01/02/22,Retail,FoodBazaar,South Depot,Frozen Foods,PRD0022,2115
01/02/22,Online,DailyNeeds,East Depot,Dairy,PRD0013,213570
01/02/22,Retail,ValueStore,Central Depot,Bakery,PRD0017,216
01/02/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0025,2205
01/02/22,Retail,SuperShop,Harbor Depot,Frozen Foods,PRD0020,225
01/02/22,Retail,ValueStore,Uptown Depot,Snacks,PRD0004,225
01/02/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0026,225
01/02/22,Retail,FoodBazaar,Harbor Depot,Frozen Foods,PRD0026,225
01/02/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0025,225
01/02/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0020,225
01/02/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0023,225
01/02/22,Retail,QuickPick,Downtown Depot,Frozen Foods,PRD0026,225
01/02/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0023,2295
01/02/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0023,2340
01/02/22,Retail,ValueStore,South Depot,Produce,PRD0019,23520
01/02/22,Online,FreshMart,North Depot,Snacks,PRD0007,2385
01/02/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0022,2385
01/02/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0014,24
01/02/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0016,24
01/02/22,Retail,QuickPick,West Depot,Bakery,PRD0014,24
01/02/22,Retail,QuickPick,West Depot,Bakery,PRD0016,24
01/02/22,Retail,QuickPick,West Depot,Bakery,PRD0018,24
01/02/22,Retail,FoodBazaar,Uptown Depot,Household,PRD0030,240
01/02/22,Retail,FoodBazaar,Uptown Depot,Household,PRD0031,240
01/02/22,Retail,FoodBazaar,West Depot,Household,PRD0028,240
01/02/22,Retail,QuickPick,Downtown Depot,Bakery,PRD0014,240
01/02/22,Retail,QuickPick,Downtown Depot,Bakery,PRD0016,240
01/02/22,Retail,FoodBazaar,South Depot,Produce,PRD0019,2400
01/02/22,Retail,QuickPick,South Depot,Produce,PRD0019,2400
01/02/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0026,2430
01/02/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0026,2565
01/02/22,Online,DailyNeeds,East Depot,Bakery,PRD0015,25848
01/02/22,Retail,ValueStore,South Depot,Personal Care,PRD0024,2592
01/02/22,Online,DailyNeeds,East Depot,Snacks,PRD0006,25965
01/02/22,Retail,SuperShop,Uptown Depot,Frozen Foods,PRD0022,2610
01/02/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0026,270
01/02/22,Retail,ValueStore,South Depot,Frozen Foods,PRD0023,2745
01/02/22,Online,FreshMart,North Depot,Dairy,PRD0013,274500
01/02/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0030,288
01/02/22,Retail,ValueStore,Harbor Depot,Frozen Foods,PRD0022,2925
01/02/22,Online,DailyNeeds,East Depot,Bakery,PRD0016,29904
01/02/22,Online,DailyNeeds,East Depot,Bakery,PRD0014,30408
01/02/22,Online,DailyNeeds,East Depot,Snacks,PRD0005,30510
01/02/22,Retail,ValueStore,Downtown Depot,Snacks,PRD0007,315
01/02/22,Retail,ValueStore,West Depot,Snacks,PRD0004,315
01/02/22,Retail,FoodBazaar,West Depot,Frozen Foods,PRD0022,315
01/02/22,Retail,QuickPick,Harbor Depot,Frozen Foods,PRD0023,315
01/02/22,Retail,ValueStore,Uptown Depot,Snacks,PRD0007,3150
01/02/22,Online,FreshMart,North Depot,Snacks,PRD0006,3240
01/02/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0023,3240
01/02/22,Retail,ValueStore,Central Depot,Frozen Foods,PRD0022,3285
01/02/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0022,3285
01/02/22,Retail,ValueStore,Downtown Depot,Bakery,PRD0017,336
01/02/22,Retail,FoodBazaar,South Depot,Household,PRD0030,336
01/02/22,Retail,FoodBazaar,West Depot,Bakery,PRD0015,360
01/02/22,Retail,FoodBazaar,Harbor Depot,Household,PRD0031,360
01/02/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0022,360
01/02/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0026,360
01/02/22,Online,DailyNeeds,East Depot,Bakery,PRD0018,36528
01/02/22,Online,DailyNeeds,East Depot,Snacks,PRD0002,37125
01/02/22,Online,FreshMart,North Depot,Dairy,PRD0012,393525
01/02/22,Retail,ValueStore,West Depot,Snacks,PRD0007,405
01/02/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0020,405
01/02/22,Online,DailyNeeds,East Depot,Bakery,PRD0017,40920
01/02/22,Online,FreshMart,North Depot,Dairy,PRD0011,413685
01/02/22,Retail,FoodBazaar,South Depot,Household,PRD0031,432
01/02/22,Retail,FoodBazaar,South Depot,Household,PRD0028,432
01/02/22,Retail,SuperShop,South Depot,Produce,PRD0019,4320
01/02/22,Retail,ValueStore,Central Depot,Produce,PRD0019,4320
01/02/22,Retail,QuickPick,Harbor Depot,Produce,PRD0019,4320
01/02/22,Retail,ValueStore,Central Depot,Snacks,PRD0007,45
01/02/22,Retail,ValueStore,Uptown Depot,Frozen Foods,PRD0021,45
01/02/22,Retail,ValueStore,Downtown Depot,Snacks,PRD0003,45
01/02/22,Retail,ValueStore,Downtown Depot,Snacks,PRD0005,45
01/02/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0021,45
01/02/22,Retail,QuickPick,West Depot,Frozen Foods,PRD0025,45
01/02/22,Retail,QuickPick,West Depot,Frozen Foods,PRD0022,45
01/02/22,Retail,QuickPick,West Depot,Frozen Foods,PRD0026,45
01/02/22,Retail,QuickPick,West Depot,Frozen Foods,PRD0021,45
01/02/22,Retail,SuperShop,South Depot,Frozen Foods,PRD0021,450
01/02/22,Retail,SuperShop,West Depot,Frozen Foods,PRD0020,450
01/02/22,Retail,ValueStore,Downtown Depot,Frozen Foods,PRD0020,450
01/02/22,Retail,FoodBazaar,Downtown Depot,Frozen Foods,PRD0023,450
01/02/22,Retail,QuickPick,South Depot,Frozen Foods,PRD0025,450
01/02/22,Retail,FoodBazaar,South Depot,Bakery,PRD0017,456
